,INFLUENCEURS,SUIT OMAJ,SUIVI PAR OMAJ,TYPE DE CONTENU,engagée, vide dressing, mode consciente, sport, grandes tailles,écologie,durable, podcast, mobilier, nourriture, slow, vetementdocassion, vintage , slowfashion, vintage, écolo,ecologie,  durable, fashion,secondemain, couture, économie circulaire, photographe, mode, haul, économie responsable, ecofriendly, upcycling ,slow , durable,upcycling,slow, upcycling,économie circulaire, équitable,  femme,slowfashion, vinted , looks, mode éthique , engagée, vinted,mode éthique,animatrice télé, coloré,looks, slow , zérodéchet,vintage, luxe, ecofriendly , secondemain,économie responsable, secondevie, durable , mode éthique, écologie,zérodéchet, mode ,autrice, reconditionné,mode, design,friperie
28,jojolafripe_,0,0,"secondemain, slow, vintage, zérodéchet, upcycling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,zoekrk,1,0,"secondemain, slow, mode, durable",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,aliaslouiseblog,1,1,"mode, économie responsable, économie circulaire, slow, vintage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31,fansiefriperie,0,0,"mode, engagée, secondemain, slow, durable",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,giucst.off,0,0,"durable, vintage ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,juliagauthier,0,0,"engagée, durable, ecofriendly, vintage, secondemain",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,constancypense_,0,1,"secondemain, vinted ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,bubblebeadoff,0,0,"secondemain, vintage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,alyssuuurr,1,0,"upcycling, secondemain, vintage, slowfashion, durable, slow, mode ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,timothe_dkr,0,0,"secondemain, vintage ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
